IP地址,数据中心,地区,城市,网络延迟
198.41.203.111,HKG,Asia Pacific,Hong Kong,37 ms
104.18.33.249,HKG,Asia Pacific,Hong Kong,39 ms
198.41.212.7,HKG,Asia Pacific,Hong Kong,39 ms
190.93.245.173,HKG,Asia Pacific,Hong Kong,40 ms
104.22.53.71,HKG,Asia Pacific,Hong Kong,42 ms
198.41.222.162,HKG,Asia Pacific,Hong Kong,45 ms
198.41.208.37,HKG,Asia Pacific,Hong Kong,45 ms
198.41.196.40,HKG,Asia Pacific,Hong Kong,46 ms
198.41.194.22,HKG,Asia Pacific,Hong Kong,47 ms
198.41.209.241,SJC,North America,San Jose,140 ms
198.41.197.130,SJC,North America,San Jose,162 ms
198.41.218.36,SJC,North America,San Jose,164 ms
198.41.215.211,SJC,North America,San Jose,165 ms
198.41.192.242,SJC,North America,San Jose,167 ms
104.18.166.102,SJC,North America,San Jose,168 ms
198.41.193.105,LAX,North America,Los Angeles,171 ms
188.114.97.180,SJC,North America,San Jose,172 ms
173.245.59.146,SJC,North America,San Jose,174 ms
66.235.200.91,LAX,North America,Los Angeles,175 ms
104.19.167.69,SEA,North America,Seattle,181 ms
188.114.96.185,SJC,North America,San Jose,191 ms
198.41.200.221,LAX,North America,Los Angeles,193 ms
198.41.205.229,LAX,North America,Los Angeles,193 ms
198.41.207.153,LAX,North America,Los Angeles,194 ms
198.41.201.165,LAX,North America,Los Angeles,194 ms
190.93.247.211,SJC,North America,San Jose,196 ms
188.114.98.11,LAX,North America,Los Angeles,199 ms
173.245.58.72,LAX,North America,Los Angeles,200 ms
198.41.219.129,SJC,North America,San Jose,201 ms
198.41.221.201,LAX,North America,Los Angeles,202 ms
198.41.220.130,LAX,North America,Los Angeles,202 ms
173.245.49.125,LAX,North America,Los Angeles,208 ms
198.217.251.133,LAX,North America,Los Angeles,214 ms
198.41.211.17,LAX,North America,Los Angeles,220 ms
198.41.216.109,LAX,North America,Los Angeles,224 ms
198.41.199.213,LAX,North America,Los Angeles,226 ms
198.41.195.3,LAX,North America,Los Angeles,226 ms
198.41.204.64,LAX,North America,Los Angeles,227 ms
198.41.198.245,LAX,North America,Los Angeles,228 ms
198.41.214.226,LAX,North America,Los Angeles,228 ms
198.41.217.100,LAX,North America,Los Angeles,230 ms
188.114.99.81,LAX,North America,Los Angeles,233 ms
198.41.206.246,LAX,North America,Los Angeles,233 ms
